127.0.0.1 - - [25/Mar/2026:09:51:35 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Mar/2026:09:51:37 +0530] "GET /StudentPerfomancePredictionSystem/ HTTP/1.1" 200 4962
0:0:0:0:0:0:0:1 - - [25/Mar/2026:09:51:38 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Mar/2026:09:51:50 +0530] "GET /StudentPerfomancePredictionSystem/User HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2026:09:51:50 +0530] "GET /StudentPerfomancePredictionSystem/AdminLogin HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [25/Mar/2026:09:52:09 +0530] "POST /StudentPerfomancePredictionSystem/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2026:09:52:09 +0530] "GET /StudentPerfomancePredictionSystem/admin/dashboard HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [25/Mar/2026:09:52:12 +0530] "GET /StudentPerfomancePredictionSystem/admin/addUser HTTP/1.1" 200 4611
0:0:0:0:0:0:0:1 - - [25/Mar/2026:09:52:55 +0530] "POST /StudentPerfomancePredictionSystem/admin/addUser HTTP/1.1" 200 4698
0:0:0:0:0:0:0:1 - - [25/Mar/2026:09:52:58 +0530] "GET /StudentPerfomancePredictionSystem/admin/addUser HTTP/1.1" 200 4611
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:02:07 +0530] "GET /StudentPerfomancePredictionSystem/admin/viewUsers/TEACHER HTTP/1.1" 200 8406
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:02:21 +0530] "GET /StudentPerfomancePredictionSystem/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:02:21 +0530] "GET /StudentPerfomancePredictionSystem/ HTTP/1.1" 200 4962
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:02:23 +0530] "GET /StudentPerfomancePredictionSystem/login HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:02:34 +0530] "POST /StudentPerfomancePredictionSystem/doLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:02:34 +0530] "GET /StudentPerfomancePredictionSystem/AdminLogin HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:02:41 +0530] "POST /StudentPerfomancePredictionSystem/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:02:41 +0530] "GET /StudentPerfomancePredictionSystem/admin/dashboard HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:02:44 +0530] "GET /StudentPerfomancePredictionSystem/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:02:44 +0530] "GET /StudentPerfomancePredictionSystem/admin/dashboard HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:02:45 +0530] "GET /StudentPerfomancePredictionSystem/login HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:02:50 +0530] "POST /StudentPerfomancePredictionSystem/doLogin HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:02:55 +0530] "GET /StudentPerfomancePredictionSystem/teacher/predict HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:03:00 +0530] "POST /StudentPerfomancePredictionSystem/doLogin HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:03:02 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:04:59 +0530] "POST /StudentPerfomancePredictionSystem/doLogin HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:05:22 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:15:24 +0530] "POST /StudentPerfomancePredictionSystem/doLogin HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:15:26 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:21:42 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:21:45 +0530] "GET /StudentPerfomancePredictionSystem/login HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:21:52 +0530] "POST /StudentPerfomancePredictionSystem/doLogin HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:21:55 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:22:00 +0530] "POST /StudentPerfomancePredictionSystem/doLogin HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:22:02 +0530] "GET /StudentPerfomancePredictionSystem/teacher/addPerformance HTTP/1.1" 200 3100
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:22:05 +0530] "GET /StudentPerfomancePredictionSystem/teacher/dashboard HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:22:07 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:30:32 +0530] "GET /StudentPerfomancePredictionSystem/teacher/dashboard HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:40:34 +0530] "GET /StudentPerfomancePredictionSystem/teacher/dashboard HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:40:35 +0530] "GET /StudentPerfomancePredictionSystem/teacher/dashboard HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:40:37 +0530] "GET /StudentPerfomancePredictionSystem/teacher/addPerformance HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:40:40 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 200 19170
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:40:55 +0530] "GET /StudentPerfomancePredictionSystem/teacher/predict HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:41:01 +0530] "GET /StudentPerfomancePredictionSystem/teacher/addPerformance HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:41:10 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 200 19170
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:41:18 +0530] "GET /StudentPerfomancePredictionSystem/teacher/dashboard HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:41:19 +0530] "GET /StudentPerfomancePredictionSystem/teacher/predict HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:42:23 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 200 19170
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:42:49 +0530] "POST /StudentPerfomancePredictionSystem/teacher/updatePerformance HTTP/1.1" 500 21515
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:49:37 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:49:41 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:49:42 +0530] "GET /StudentPerfomancePredictionSystem/teacher/dashboard HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:49:44 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:49:46 +0530] "GET /StudentPerfomancePredictionSystem/teacher/dashboard HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:49:50 +0530] "GET /StudentPerfomancePredictionSystem/teacher/addPerformance HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:50:10 +0530] "POST /StudentPerfomancePredictionSystem/teacher/savePerformance HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:50:10 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 200 4722
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:50:23 +0530] "POST /StudentPerfomancePredictionSystem/teacher/updatePerformance HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:50:23 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 200 4722
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:50:29 +0530] "GET /StudentPerfomancePredictionSystem/teacher/deletePerformance?id=1 HTTP/1.1" 500 12815
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:51:42 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 200 4722
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:51:45 +0530] "GET /StudentPerfomancePredictionSystem/teacher/deletePerformance?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:51:45 +0530] "GET /StudentPerfomancePredictionSystem/teacher/viewPerformance HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:51:49 +0530] "GET /StudentPerfomancePredictionSystem/teacher/dashboard HTTP/1.1" 200 3586
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:51:53 +0530] "GET /StudentPerfomancePredictionSystem/teacher/predict HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [25/Mar/2026:10:51:57 +0530] "GET /StudentPerfomancePredictionSystem/teacher/predict HTTP/1.1" 404 769
