127.0.0.1 - - [11/Apr/2026:15:57:24 +0530] "GET / HTTP/1.1" 200 6048
0:0:0:0:0:0:0:1 - - [11/Apr/2026:15:57:26 +0530] "GET / HTTP/1.1" 200 6048
0:0:0:0:0:0:0:1 - - [11/Apr/2026:15:57:26 +0530] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2026:15:57:26 +0530] "GET /AdminLogin HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [11/Apr/2026:15:57:37 +0530] "GET /login HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [11/Apr/2026:15:57:38 +0530] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2026:15:57:38 +0530] "GET /AdminLogin HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [11/Apr/2026:15:57:51 +0530] "POST /doLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2026:15:57:51 +0530] "GET /teacher/dashboard HTTP/1.1" 200 4142
0:0:0:0:0:0:0:1 - - [11/Apr/2026:15:57:51 +0530] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2026:15:57:51 +0530] "GET /AdminLogin HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [11/Apr/2026:15:57:53 +0530] "GET /teacher/viewPerformance HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [11/Apr/2026:15:57:53 +0530] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2026:15:57:53 +0530] "GET /AdminLogin HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [11/Apr/2026:15:58:14 +0530] "GET /teacher/dashboard HTTP/1.1" 200 4142
0:0:0:0:0:0:0:1 - - [11/Apr/2026:15:58:14 +0530] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2026:15:58:14 +0530] "GET /AdminLogin HTTP/1.1" 200 1516
